pca1,pca2,cluster
3.4633140992868987,-0.290365928532744,1
-0.6080870035934507,2.300031533472831,2
-1.4244210987842516,2.125387612333004,2
0.5413549084623881,-0.3780550643803598,4
0.5413549084623881,-0.3780550643803598,4
0.5413549084623881,-0.3780550643803598,4
-1.3878773320572126,2.130075754285021,2
-1.3875871403541524,2.1298067967441283,2
-1.2192620457019496,1.8087711608444768,2
-1.2197742971700885,1.8079621349459027,2
-1.3991578191915865,2.1647156554956903,2
1.1358940973192138,-1.033201065422759,4
1.1224392920737467,-0.9541748867562734,4
-1.4235953680883044,0.5861412299755957,2
1.1358940973192138,-1.033201065422759,4
1.9476827594259298,-0.7120170021307819,1
1.1358940973192138,-1.033201065422759,4
1.9476827594259298,-0.7120170021307819,1
0.49190849795147296,-0.2948726579086603,4
0.49190849795147296,-0.2948726579086603,4
-1.4824581038540239,1.374290057106233,2
-1.4824581038540239,1.374290057106233,2
-0.9468590716647858,0.49637047572903076,2
-1.2044975039338677,0.28605218392696563,2
-1.2044975039338677,0.28605218392696563,2
1.1314444927048921,-0.8954067646070172,4
-1.2044975039338677,0.28605218392696563,2
-0.9470696862147274,0.42867968019457675,2
0.5301730150380032,-0.39155469434550183,4
0.5301730150380032,-0.39155469434550183,4
-1.7799180611450816,-0.32862907041473755,2
-1.4235953680883044,0.5861412299755957,2
-1.727222431197652,-0.1939242926525317,2
-1.8550790328875943,-0.25827661788654516,2
1.6106974278710464,-0.3170035455303748,4
1.977484748062945,-0.1366760586330946,1
0.493655315965888,-0.29568323783853756,4
-1.4586701453866027,2.1574898681322,2
-1.3858400746832487,2.0452596461648156,2
-1.3539955250044993,0.5286407479743245,2
-1.3807893497208428,0.5367002410697383,2
-0.5516969707932508,2.122135176716401,2
1.5793959088589402,-0.8405696348197357,4
1.1478176797201065,-0.9725442052037321,4
-1.598355469633979,1.525791858958306,2
1.7256509462601273,-0.07888679420265603,4
-0.9468590716647858,0.49637047572903076,2
-0.9468590716647858,0.49637047572903076,2
-3.1952436072824386,-2.4749690842652745,0
-3.19589143290175,-2.471896814707369,0
-1.687486580542135,-0.47170021666796086,2
2.619043769650723,-0.42158631709689054,1
1.689792285157193,-0.40353296647168246,4
0.5647748897195377,-0.3897001188272563,4
1.785721155613594,-0.09059855356802804,4
1.1358940973192138,-1.033201065422759,4
1.6695670325885792,-0.2731828118803034,4
1.8328550594324549,-0.19129725466706216,4
-3.207257136708903,-2.5404289280481414,0
-3.1426259744015774,-2.498165447933501,0
1.9539193154027827,-0.6808690218321075,1
3.4633140992869005,-0.2903659285327355,1
1.6536790886448474,-0.5110346399417807,4
1.6536790886448474,-0.5110346399417807,4
2.6052884028297436,-0.4150539175286997,1
-3.162142898812351,-2.4900757948298797,0
-1.3820230981385442,2.048300079714525,2
1.2863597005748284,-0.4872928747892428,4
-1.42690469207515,2.100897755111505,2
-1.256002915742845,0.37271763119417983,2
